distance year jd planet node number
1.686800000000000018e-03 2.009008000000000038e+03 2.454835245899999980e+06 3.000000000000000000e+00 2.833749000000000251e+02 1.000000000000000000e+00
1.894899999999999926e-03 2.009007000000000062e+03 2.454835224400000181e+06 3.000000000000000000e+00 2.833528999999999769e+02 1.000000000000000000e+00
2.231900000000000203e-03 2.009007000000000062e+03 2.454835201100000180e+06 3.000000000000000000e+00 2.833292000000000144e+02 1.000000000000000000e+00
2.707399999999999998e-03 2.009007000000000062e+03 2.454835174500000197e+06 3.000000000000000000e+00 2.833020000000000209e+02 1.000000000000000000e+00
3.337999999999999821e-03 2.009007000000000062e+03 2.454835142899999861e+06 3.000000000000000000e+00 2.832699000000000069e+02 1.000000000000000000e+00
4.158199999999999917e-03 2.009007000000000062e+03 2.454835104600000195e+06 3.000000000000000000e+00 2.832307999999999879e+02 1.000000000000000000e+00
5.200100000000000035e-03 2.009007000000000062e+03 2.454835057800000068e+06 3.000000000000000000e+00 2.831831000000000245e+02 1.000000000000000000e+00
2.113900000000000154e-03 2.009008000000000038e+03 2.454835239899999928e+06 3.000000000000000000e+00 2.833686999999999898e+02 2.000000000000000000e+00
1.916100000000000008e-03 2.009007000000000062e+03 2.454835210299999919e+06 3.000000000000000000e+00 2.833385999999999854e+02 2.000000000000000000e+00
1.947200000000000059e-03 2.009007000000000062e+03 2.454835183999999892e+06 3.000000000000000000e+00 2.833116999999999734e+02 2.000000000000000000e+00
2.154699999999999845e-03 2.009007000000000062e+03 2.454835158700000029e+06 3.000000000000000000e+00 2.832860000000000014e+02 2.000000000000000000e+00
2.515400000000000101e-03 2.009007000000000062e+03 2.454835132000000216e+06 3.000000000000000000e+00 2.832586999999999762e+02 2.000000000000000000e+00
3.034100000000000078e-03 2.009007000000000062e+03 2.454835101799999829e+06 3.000000000000000000e+00 2.832278999999999769e+02 2.000000000000000000e+00
3.727700000000000024e-03 2.009007000000000062e+03 2.454835066300000064e+06 3.000000000000000000e+00 2.831918000000000006e+02 2.000000000000000000e+00
4.637200000000000176e-03 2.009007000000000062e+03 2.454835023200000171e+06 3.000000000000000000e+00 2.831478999999999928e+02 2.000000000000000000e+00
5.793200000000000086e-03 2.009007000000000062e+03 2.454834970900000073e+06 3.000000000000000000e+00 2.830944999999999823e+02 2.000000000000000000e+00
5.588799999999999671e-03 2.009008000000000038e+03 2.454835239899999928e+06 3.000000000000000000e+00 2.833686999999999898e+02 3.000000000000000000e+00
5.275900000000000034e-03 2.009007000000000062e+03 2.454835204599999823e+06 3.000000000000000000e+00 2.833328000000000202e+02 3.000000000000000000e+00
5.036200000000000225e-03 2.009007000000000062e+03 2.454835151800000109e+06 3.000000000000000000e+00 2.832789000000000215e+02 3.000000000000000000e+00
5.175800000000000366e-03 2.009007000000000062e+03 2.454835084300000221e+06 3.000000000000000000e+00 2.832101000000000113e+02 3.000000000000000000e+00
5.765700000000000339e-03 2.009007000000000062e+03 2.454835017599999905e+06 3.000000000000000000e+00 2.831421000000000276e+02 3.000000000000000000e+00
