a e i Om w M year jd number node
2.832301025943532835e+00 6.524396373475432886e-01 7.201633567335916553e+01 2.834013508080326460e+02 1.766341862254212458e+02 -3.473639815970258127e+01 1.999009999999999991e+03 2.451183263300000224e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.818533043999407184e+00 6.581171396831291265e-01 7.238326761849363322e+01 2.834278235924975888e+02 1.763891559913429603e+02 -7.386338089875278001e+01 1.989009999999999991e+03 2.447531263199999928e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.823983672736842809e+00 6.571812367126191878e-01 7.224359464005236475e+01 2.834150722888269343e+02 1.763610952129036491e+02 -1.135868073757304160e+02 1.979012999999999920e+03 2.443879263199999928e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.810097487979790198e+00 6.621635916563044510e-01 7.253229766950801150e+01 2.834663554937322942e+02 1.761244366112950672e+02 -1.540447343998293661e+02 1.969012999999999920e+03 2.440227263100000098e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.813951200916773754e+00 6.611820425296728310e-01 7.240785122531676166e+01 2.834344368277249941e+02 1.760364761803107285e+02 1.620377016177974667e+02 1.959016000000000076e+03 2.436575263100000098e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.807403224277564391e+00 6.642847940456466649e-01 7.266838982193657159e+01 2.834462130031251945e+02 1.759414756344559692e+02 1.196817783582933856e+02 1.949016000000000076e+03 2.432923262999999803e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.804674375890678473e+00 6.653179909645854373e-01 7.262445141965248752e+01 2.834630707529292977e+02 1.758157505648791528e+02 7.315182635682008083e+01 1.939019000000000005e+03 2.429271262999999803e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.809630271611171626e+00 6.642476887330204249e-01 7.249350036356497640e+01 2.834742706951211630e+02 1.756763803008655600e+02 2.859264061435146687e+01 1.929019000000000005e+03 2.425619262899999972e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.800704459947521485e+00 6.672239917170633694e-01 7.272923947572743941e+01 2.834562222552507933e+02 1.755912562166131750e+02 -1.811412249659350238e+01 1.919020999999999958e+03 2.421967262800000142e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.810209447018016338e+00 6.651256881301239599e-01 7.245823427726628552e+01 2.834646210595237221e+02 1.754384867231375154e+02 -6.413435658465238021e+01 1.909020999999999958e+03 2.418315262800000142e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.803406101014097818e+00 6.670940668133805707e-01 7.260358139261064991e+01 2.834606116805475153e+02 1.753312086566059520e+02 -1.091836711629113097e+02 1.899020999999999958e+03 2.414663262699999847e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.812955379873427475e+00 6.645167509595881761e-01 7.244745356053793728e+01 2.834529080368915857e+02 1.750661157771149590e+02 -1.553639611845003685e+02 1.889020999999999958e+03 2.411011262699999847e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.812210359589166320e+00 6.645793230725463019e-01 7.235111043684214849e+01 2.834883104473511253e+02 1.750612852653013647e+02 1.619056808639153360e+02 1.879023999999999887e+03 2.407359262600000016e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.809989826089877685e+00 6.659435215606421821e-01 7.240949648267735483e+01 2.834575632466674620e+02 1.749613351349461539e+02 1.175318605574060342e+02 1.869023999999999887e+03 2.403707262600000016e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.822245660644693288e+00 6.627032311468193937e-01 7.210163727342957429e+01 2.835164001263746627e+02 1.746262787303495259e+02 7.745153789157907909e+01 1.859027000000000044e+03 2.400055262500000186e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.816727635904494154e+00 6.638497012066447711e-01 7.220114112662299988e+01 2.834802178239276600e+02 1.746135358680579373e+02 3.668733622618240275e+01 1.849027000000000044e+03 2.396403262399999890e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.832340164632777491e+00 6.599260153368742277e-01 7.178488234044115757e+01 2.835417449160083265e+02 1.742247817449696186e+02 -1.847546003879857457e+00 1.839028999999999996e+03 2.392751262399999890e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.827925699575772445e+00 6.612378855379806852e-01 7.187680236882307838e+01 2.835324920848554484e+02 1.741569999794253931e+02 -3.767696503629552041e+01 1.829028999999999996e+03 2.389099262300000060e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.829670406648237435e+00 6.609541352133587733e-01 7.186227010983066066e+01 2.835472903783807510e+02 1.740942731272861863e+02 -7.462968702079471939e+01 1.819031999999999925e+03 2.385447262300000060e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.839174977892418461e+00 6.579583862760334245e-01 7.154839078521378326e+01 2.835852208945026405e+02 1.737610096182876873e+02 -1.063097446845375060e+02 1.809031999999999925e+03 2.381795262200000230e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.835957303357255377e+00 6.595860817966591183e-01 7.167187164856245829e+01 2.835452499575229126e+02 1.737159079132977979e+02 -1.401246570305818580e+02 1.799031999999999925e+03 2.378143262099999934e+06 1.000000000000000000e+00 0.000000000000000000e+00
