distance year jd planet number
1.686800000000000018e-03 2.009008000000000038e+03 2.454835245899999980e+06 3.000000000000000000e+00 1.000000000000000000e+00
1.894899999999999926e-03 2.009007000000000062e+03 2.454835224400000181e+06 3.000000000000000000e+00 1.000000000000000000e+00
2.231900000000000203e-03 2.009007000000000062e+03 2.454835201100000180e+06 3.000000000000000000e+00 1.000000000000000000e+00
2.707399999999999998e-03 2.009007000000000062e+03 2.454835174500000197e+06 3.000000000000000000e+00 1.000000000000000000e+00
3.337999999999999821e-03 2.009007000000000062e+03 2.454835142899999861e+06 3.000000000000000000e+00 1.000000000000000000e+00
4.158199999999999917e-03 2.009007000000000062e+03 2.454835104600000195e+06 3.000000000000000000e+00 1.000000000000000000e+00
5.200100000000000035e-03 2.009007000000000062e+03 2.454835057800000068e+06 3.000000000000000000e+00 1.000000000000000000e+00
6.531300000000000300e-03 2.009007000000000062e+03 2.454834999499999918e+06 3.000000000000000000e+00 1.000000000000000000e+00
8.210900000000000143e-03 2.009007000000000062e+03 2.454834927000000142e+06 3.000000000000000000e+00 1.000000000000000000e+00
1.029889999999999972e-02 2.009006000000000085e+03 2.454834837799999863e+06 3.000000000000000000e+00 1.000000000000000000e+00
1.288919999999999996e-02 2.009006000000000085e+03 2.454834727599999867e+06 3.000000000000000000e+00 1.000000000000000000e+00
1.610610000000000167e-02 2.009006000000000085e+03 2.454834591399999801e+06 3.000000000000000000e+00 1.000000000000000000e+00
2.010529999999999956e-02 2.009005000000000109e+03 2.454834422400000039e+06 3.000000000000000000e+00 1.000000000000000000e+00
2.508080000000000032e-02 2.009005000000000109e+03 2.454834212400000077e+06 3.000000000000000000e+00 1.000000000000000000e+00
3.127390000000000031e-02 2.009003999999999905e+03 2.454833951200000010e+06 3.000000000000000000e+00 1.000000000000000000e+00
3.898460000000000120e-02 2.009002999999999929e+03 2.454833626300000120e+06 3.000000000000000000e+00 1.000000000000000000e+00
4.858649999999999775e-02 2.009001999999999953e+03 2.454833221599999815e+06 3.000000000000000000e+00 1.000000000000000000e+00
6.054360000000000297e-02 2.009000999999999976e+03 2.454832717800000217e+06 3.000000000000000000e+00 1.000000000000000000e+00
7.543239999999999668e-02 2.008999000000000024e+03 2.454832090199999977e+06 3.000000000000000000e+00 1.000000000000000000e+00
9.396569999999999923e-02 2.008997000000000071e+03 2.454831308399999980e+06 3.000000000000000000e+00 1.000000000000000000e+00
1.170329999999999981e-01 2.008993999999999915e+03 2.454830334499999881e+06 3.000000000000000000e+00 1.000000000000000000e+00
1.457229999999999914e-01 2.008990999999999985e+03 2.454829121100000106e+06 3.000000000000000000e+00 1.000000000000000000e+00
1.813732999999999873e-01 2.008987000000000080e+03 2.454827609399999958e+06 3.000000000000000000e+00 1.000000000000000000e+00
2.256071000000000049e-01 2.008980999999999995e+03 2.454825725999999791e+06 3.000000000000000000e+00 1.000000000000000000e+00
2.803665000000000185e-01 2.008974999999999909e+03 2.454823379300000146e+06 3.000000000000000000e+00 1.000000000000000000e+00
3.479166000000000203e-01 2.008967000000000098e+03 2.454820455500000156e+06 3.000000000000000000e+00 1.000000000000000000e+00
3.633415999999999868e-01 1.990035000000000082e+03 2.447905380599999800e+06 3.000000000000000000e+00 1.000000000000000000e+00
3.651593000000000200e-01 1.990020999999999958e+03 2.447900181299999822e+06 2.000000000000000000e+00 1.000000000000000000e+00
2.499856000000000023e-01 1.990020999999999958e+03 2.447900181299999822e+06 3.000000000000000000e+00 1.000000000000000000e+00
3.390461000000000169e-01 1.990010999999999967e+03 2.447896350000000093e+06 2.000000000000000000e+00 1.000000000000000000e+00
1.727452999999999905e-01 1.990010999999999967e+03 2.447896350000000093e+06 3.000000000000000000e+00 1.000000000000000000e+00
3.390668000000000015e-01 1.990002999999999929e+03 2.447893673700000159e+06 2.000000000000000000e+00 1.000000000000000000e+00
1.295083999999999957e-01 1.990002999999999929e+03 2.447893673700000159e+06 3.000000000000000000e+00 1.000000000000000000e+00
3.486820999999999948e-01 1.989998000000000047e+03 2.447891741400000174e+06 2.000000000000000000e+00 1.000000000000000000e+00
1.113690999999999987e-01 1.989998000000000047e+03 2.447891741400000174e+06 3.000000000000000000e+00 1.000000000000000000e+00
3.617986999999999731e-01 1.989993999999999915e+03 2.447890186300000176e+06 2.000000000000000000e+00 1.000000000000000000e+00
1.095031999999999950e-01 1.989993999999999915e+03 2.447890186300000176e+06 3.000000000000000000e+00 1.000000000000000000e+00
3.776264999999999761e-01 1.989990000000000009e+03 2.447888754300000146e+06 2.000000000000000000e+00 1.000000000000000000e+00
1.185818000000000011e-01 1.989990000000000009e+03 2.447888754300000146e+06 3.000000000000000000e+00 1.000000000000000000e+00
3.971759999999999735e-01 1.989986000000000104e+03 2.447887278799999971e+06 2.000000000000000000e+00 1.000000000000000000e+00
1.365519000000000038e-01 1.989986000000000104e+03 2.447887278799999971e+06 3.000000000000000000e+00 1.000000000000000000e+00
1.632008000000000070e-01 1.989980999999999995e+03 2.447885640800000168e+06 3.000000000000000000e+00 1.000000000000000000e+00
1.993574999999999930e-01 1.989976000000000113e+03 2.447883733099999838e+06 3.000000000000000000e+00 1.000000000000000000e+00
2.468333000000000055e-01 1.989970000000000027e+03 2.447881431299999822e+06 3.000000000000000000e+00 1.000000000000000000e+00
