a e i Om w M year jd number node
2.832195032135157664e+00 6.524266688847442097e-01 7.201613314834808932e+01 2.834013532771568862e+02 1.766347507033165698e+02 -3.477840527398313952e+01 1.999009999999999991e+03 2.451183263300000224e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.818473143717100005e+00 6.581010954808089730e-01 7.238273095514018962e+01 2.834277123141701509e+02 1.763900935225025250e+02 -7.394382480168759741e+01 1.989009999999999991e+03 2.447531263199999928e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.823929723413014514e+00 6.571633365252188552e-01 7.224287567578872427e+01 2.834150223902086623e+02 1.763618748505128622e+02 -1.136896972888112174e+02 1.979012999999999920e+03 2.443879263199999928e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.810084735144784407e+00 6.621356492885507317e-01 7.253107265845811469e+01 2.834660600805235617e+02 1.761257513830688879e+02 -1.541666037201271422e+02 1.969012999999999920e+03 2.440227263100000098e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.813950491092980677e+00 6.611510601775341112e-01 7.240631974995380915e+01 2.834341738719508044e+02 1.760375661976902677e+02 1.619122856192938400e+02 1.959016000000000076e+03 2.436575263100000098e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.807416159048969462e+00 6.642484259941233704e-01 7.266619670429820133e+01 2.834459040167721469e+02 1.759427049132459899e+02 1.195564420126458174e+02 1.949016000000000076e+03 2.432923262999999803e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.804701538111800563e+00 6.652774375081489389e-01 7.262242414528502366e+01 2.834626707599579163e+02 1.758172859891902249e+02 7.303578061905741947e+01 1.939019000000000005e+03 2.429271262999999803e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.809670356650540324e+00 6.642046520258455544e-01 7.249123397581642791e+01 2.834739237799294074e+02 1.756775807979465469e+02 2.849283889711835727e+01 1.929019000000000005e+03 2.425619262899999972e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.800758406061940153e+00 6.671753690553940963e-01 7.272662117088084699e+01 2.834557838691644633e+02 1.755927344601196580e+02 -1.819384455986644866e+01 1.919020999999999958e+03 2.421967262800000142e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.810272666241960149e+00 6.650743156829203029e-01 7.245543845807382866e+01 2.834642610146480592e+02 1.754396884396948053e+02 -6.418967542917803826e+01 1.909020999999999958e+03 2.418315262800000142e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.803472393876962787e+00 6.670412341897711261e-01 7.260068407313750072e+01 2.834602270177132937e+02 1.753325021124663579e+02 -1.092131141692861860e+02 1.899020999999999958e+03 2.414663262699999847e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.813022329242289565e+00 6.644637156709779502e-01 7.244459303946273110e+01 2.834525273946516677e+02 1.750674113858774774e+02 -1.553660623510375558e+02 1.889020999999999958e+03 2.411011262699999847e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.812277130150740323e+00 6.645261222277625279e-01 7.234826814379424320e+01 2.834879434702326080e+02 1.750625735259577311e+02 1.619309491947565789e+02 1.879023999999999887e+03 2.407359262600000016e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.810052847818919286e+00 6.658910441206541408e-01 7.240670628351517735e+01 2.834571887704084361e+02 1.749625887486883187e+02 1.175831397992627529e+02 1.869023999999999887e+03 2.403707262600000016e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.822295881726194278e+00 6.626544929484630142e-01 7.209918672704343123e+01 2.835159141462497701e+02 1.746280607752615879e+02 7.752296195018071501e+01 1.859027000000000044e+03 2.400055262500000186e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.816729195023026655e+00 6.637982615018551691e-01 7.219895919395283101e+01 2.834797826239745859e+02 1.746154662085169207e+02 3.676277544926837493e+01 1.849027000000000044e+03 2.396403262399999890e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.832321975765288880e+00 6.598806668268418774e-01 7.178320895460913675e+01 2.835411121189137020e+02 1.742275142507802741e+02 -1.776341223321595608e+00 1.839028999999999996e+03 2.392751262399999890e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.827898555922017554e+00 6.611936272773401013e-01 7.187523390191654471e+01 2.835318837494694435e+02 1.741596411291843367e+02 -3.761450790681724499e+01 1.829028999999999996e+03 2.389099262300000060e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.829629407660144480e+00 6.609091010069165772e-01 7.186069536636780697e+01 2.835466518926552908e+02 1.740970313099795987e+02 -7.457913859987758087e+01 1.819031999999999925e+03 2.385447262300000060e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.839121444360908963e+00 6.579165665105775052e-01 7.154721755855329945e+01 2.835845193486918561e+02 1.737641717888852497e+02 -1.062812394434854610e+02 1.809031999999999925e+03 2.381795262200000230e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.835900821461170285e+00 6.595450289806097377e-01 7.167075833355362136e+01 2.835445588437806350e+02 1.737190318702483580e+02 -1.401182636071486627e+02 1.799031999999999925e+03 2.378143262099999934e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.847173346380333481e+00 6.569561225149965766e-01 7.137742426857909095e+01 2.835880231603632637e+02 1.734951505116522128e+02 -1.711502469558551240e+02 1.789031999999999925e+03 2.374491262099999934e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.839496178050803454e+00 6.591434889079412773e-01 7.151696068080272539e+01 2.835801714464549832e+02 1.734193846356915003e+02 1.579966953679389405e+02 1.779035000000000082e+03 2.370839262000000104e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.847479264472944305e+00 6.573808056910083186e-01 7.128826443556376091e+01 2.835703935347042943e+02 1.732557848958250588e+02 1.265903312499257822e+02 1.769035000000000082e+03 2.367187262000000104e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.841126205016195172e+00 6.602163294153867712e-01 7.146346794773326394e+01 2.835794969146688231e+02 1.731682480784010352e+02 9.747393622490267262e+01 1.759038000000000011e+03 2.363535261899999809e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.840686407403807845e+00 6.607670776332553730e-01 7.143762336073770314e+01 2.835882471755771803e+02 1.730959725837193162e+02 6.521356060446342440e+01 1.749038000000000011e+03 2.359883261899999809e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.845718599115412140e+00 6.598729620276999608e-01 7.131026796746799334e+01 2.835992611993634682e+02 1.729717626837476701e+02 3.509051067893603459e+01 1.739039999999999964e+03 2.356231261799999978e+06 1.000000000000000000e+00 0.000000000000000000e+00
