X Y Z velX velY velZ r year
-2.606172860859249374e-01 1.167159948031490702e+00 1.870924123774092215e-02 -2.796117416170989904e-03 1.986319166554116264e-02 4.321711685058992496e-04 1.196049225493397872e+00 2.003281999999999925e+03
-3.048443282771201024e-01 1.161497283828411886e+00 -1.088740067350255081e-01 -2.820118409718588848e-03 1.985974911358147355e-02 4.321396133096280768e-04 1.205760985505023530e+00 2.003382000000000062e+03
-3.475925517689241739e-01 1.146467605795771671e+00 -2.383289537090039489e-01 -2.844114398017542986e-03 1.985623334833866438e-02 4.321073027219048232e-04 1.221478302451725728e+00 2.003481999999999971e+03
-3.888745876388998157e-01 1.121676142730091863e+00 -3.699242311672333305e-01 -2.868098837188224476e-03 1.985258160190811819e-02 4.320730820768458572e-04 1.243472858926100821e+00 2.003582000000000107e+03
-4.286522379680598460e-01 1.086549122231563747e+00 -5.039160087376813868e-01 -2.892072819484115855e-03 1.984882908680947813e-02 4.320368841089407969e-04 1.272109696527513600e+00 2.003682000000000016e+03
-4.668399303524312649e-01 1.040331189587802019e+00 -6.405551194155193473e-01 -2.916035099951617710e-03 1.984497965127847430e-02 4.319982166687731532e-04 1.307875898397880876e+00 2.003781999999999925e+03
-5.032938750611234413e-01 9.820568950000434505e-01 -7.800646194252398580e-01 -2.939989810934720907e-03 1.984107553959134698e-02 4.319579404966702465e-04 1.351384948920999474e+00 2.003882000000000062e+03
-5.378003922945624460e-01 9.105374243399739775e-01 -9.226237898002356275e-01 -2.963924832135580653e-03 1.983703844210146436e-02 4.319148255927052421e-04 1.403403833748934959e+00 2.003981999999999971e+03
-5.700738767672245411e-01 8.243156638758292187e-01 -1.068335666312361543e+00 -2.987827946498123992e-03 1.983277460968741607e-02 4.318656005800394489e-04 1.464862326158516304e+00 2.004082000000000107e+03
-5.997093355321969632e-01 7.216291318905863061e-01 -1.217185302565456428e+00 -3.011708129364704806e-03 1.982835463942908549e-02 4.318111344316256516e-04 1.536860420434787544e+00 2.004182000000000016e+03
-6.261685902678922888e-01 6.003822319973161070e-01 -1.368991021295039356e+00 -3.035572563479814294e-03 1.982382733760027632e-02 4.317514167996281435e-04 1.620704274172988457e+00 2.004280999999999949e+03
-6.487265993692030719e-01 4.581017045064110227e-01 -1.523329380270453060e+00 -3.059452076282723892e-03 1.981940820193896571e-02 4.316920518688754189e-04 1.717916113550359558e+00 2.004381000000000085e+03
-6.664351058849329323e-01 2.919445315916796013e-01 -1.679424242702252545e+00 -3.083344312268547407e-03 1.981509517569060227e-02 4.316358240464708541e-04 1.830254940399883568e+00 2.004480999999999995e+03
-6.780971899685654947e-01 9.866576928151374326e-02 -1.836009027424505780e+00 -3.107236647000077845e-03 1.981080032034631191e-02 4.315810055553668764e-04 1.959714234743284544e+00 2.004580999999999904e+03
-6.821835748709734748e-01 -1.253340464947945709e-01 -1.991126140089070962e+00 -3.131113414645112555e-03 1.980642735065738652e-02 4.315262962159210425e-04 2.108474889293325827e+00 2.004681000000000040e+03
-6.767980879939584637e-01 -3.839219931655706297e-01 -2.141883912101299359e+00 -3.154952755547669498e-03 1.980182311724408908e-02 4.314649163495007833e-04 2.278841469182722346e+00 2.004779999999999973e+03
-6.595696693122472531e-01 -6.810394457257826772e-01 -2.284149907985368877e+00 -3.178774547162625200e-03 1.979710715781238944e-02 4.313981242107869929e-04 2.473092735313562329e+00 2.004880000000000109e+03
-6.276170970829827445e-01 -1.020224923578686882e+00 -2.412145157601401468e+00 -3.202588300162415458e-03 1.979234413322889657e-02 4.313279873220140343e-04 2.693177746934260153e+00 2.004980000000000018e+03
-5.775685838924945470e-01 -1.403957544460239681e+00 -2.518050360311118396e+00 -3.226410740962276213e-03 1.978763649525548673e-02 4.312578898549525221e-04 2.940282277742965356e+00 2.005079999999999927e+03
-5.056866849905370387e-01 -1.832465695997818722e+00 -2.591622497205450681e+00 -3.250240677843805118e-03 1.978299310693002952e-02 4.311915842649679891e-04 3.214056116250446404e+00 2.005180000000000064e+03
-4.082276308790074859e-01 -2.302227116522310713e+00 -2.620093056742868409e+00 -3.274058568455449642e-03 1.977828996124386327e-02 4.311242639545486083e-04 3.511664437365265901e+00 2.005279999999999973e+03
-2.819787419142248952e-01 -2.804014772158665014e+00 -2.588558626178512512e+00 -3.297867289364132815e-03 1.977354189785912944e-02 4.310560631189445610e-04 3.826571130207659710e+00 2.005380000000000109e+03
-1.252329284218126892e-01 -3.320723838865871080e+00 -2.481255875559452484e+00 -3.321661782461349677e-03 1.976871465129877159e-02 4.309843472662396686e-04 4.147230500029085221e+00 2.005480000000000018e+03
6.100897289411603974e-02 -3.825972868328898713e+00 -2.284101256110752320e+00 -3.345461828343348869e-03 1.976391588782951472e-02 4.309123495854546974e-04 4.456333586271249203e+00 2.005579999999999927e+03
2.716484892523873262e-01 -4.284206481970592506e+00 -1.988620099742324454e+00 -3.369276584435265849e-03 1.975921614210998656e-02 4.308462289273581641e-04 4.731049353258864443e+00 2.005680000000000064e+03
4.966771397426237855e-01 -4.654390716046479248e+00 -1.596472034025818054e+00 -3.393095556765490968e-03 1.975455560729403107e-02 4.307844570885852715e-04 4.945580256571427746e+00 2.005779999999999973e+03
7.216461078457873102e-01 -4.897255242952301302e+00 -1.122862457427388216e+00 -3.416912805104666342e-03 1.974990852789121690e-02 4.307274479138338422e-04 5.075894218548357983e+00 2.005880000000000109e+03
9.298133190551419736e-01 -4.984725883130932012e+00 -5.965780160170135460e-01 -2.098020732873264165e-03 1.993276459909715248e-02 4.322061857888664710e-04 5.105678237750845838e+00 2.005980000000000018e+03
1.105624464318740285e+00 -4.907738455818733136e+00 -5.534086158106015646e-02 -2.122173985023317021e-03 1.993051933110353419e-02 4.321978609832706768e-04 5.031040132793881625e+00 2.006079999999999927e+03
1.237975721909027937e+00 -4.678655233210159636e+00 4.618346636842493580e-01 -2.146324999414363568e-03 1.992822801604488339e-02 4.321870736936401667e-04 4.861655061382012200e+00 2.006180000000000064e+03
