distance year jd planet number
3.197130000000000249e-01 2.079436999999999898e+03 2.480559014899999835e+06 5.000000000000000000e+00 1.000000000000000000e+00
3.129309000000000118e-01 2.079440000000000055e+03 2.480560014899999835e+06 5.000000000000000000e+00 1.000000000000000000e+00
3.061884000000000272e-01 2.079443000000000211e+03 2.480561014899999835e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.994883999999999880e-01 2.079445000000000164e+03 2.480562014899999835e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.928337999999999774e-01 2.079447999999999865e+03 2.480563014899999835e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.862279999999999824e-01 2.079451000000000022e+03 2.480564014899999835e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.796745999999999954e-01 2.079452999999999975e+03 2.480565014899999835e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.731775000000000175e-01 2.079456000000000131e+03 2.480566014899999835e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.667410000000000059e-01 2.079458999999999833e+03 2.480567014899999835e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.603696999999999817e-01 2.079461999999999989e+03 2.480568014899999835e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.540686999999999807e-01 2.079463999999999942e+03 2.480569014899999835e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.478434999999999944e-01 2.079467000000000098e+03 2.480570014899999835e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.417002000000000039e-01 2.079469999999999800e+03 2.480571014899999835e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.325341999999999965e-01 2.079474000000000160e+03 2.480572534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.266277999999999904e-01 2.079476999999999862e+03 2.480573534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.208292000000000033e-01 2.079480000000000018e+03 2.480574534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.151474999999999915e-01 2.079481999999999971e+03 2.480575534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.095921000000000034e-01 2.079485000000000127e+03 2.480576534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.041738999999999915e-01 2.079487999999999829e+03 2.480577534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
1.989039999999999975e-01 2.079490999999999985e+03 2.480578534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
1.937950999999999979e-01 2.079492999999999938e+03 2.480579534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
1.888602000000000058e-01 2.079496000000000095e+03 2.480580534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
1.841137999999999941e-01 2.079498999999999796e+03 2.480581534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
1.795709000000000055e-01 2.079501000000000204e+03 2.480582534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
1.752478000000000091e-01 2.079503999999999905e+03 2.480583534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
1.711612999999999885e-01 2.079507000000000062e+03 2.480584534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
1.673290000000000055e-01 2.079510000000000218e+03 2.480585534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
1.637691000000000008e-01 2.079512000000000171e+03 2.480586534899999853e+06 5.000000000000000000e+00 1.000000000000000000e+00
