distance year jd planet number
3.963104000000000071e-01 2.079407000000000153e+03 2.480548015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
7.771609999999999907e-01 2.079406899999999951e+03 -5.157332700000000436e+00 5.000000000000000000e+00 4.269300000000000178e-03
3.892268999999999868e-01 2.079409999999999854e+03 2.480549015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
7.845379000000000103e-01 2.079409599999999955e+03 -5.155844799999999672e+00 5.000000000000000000e+00 4.098199999999999760e-03
3.821631999999999807e-01 2.079411999999999807e+03 2.480550015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
7.919131000000000364e-01 2.079412400000000162e+03 -5.154346000000000316e+00 5.000000000000000000e+00 3.927199999999999615e-03
3.751203000000000176e-01 2.079414999999999964e+03 2.480551015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
7.992867999999999640e-01 2.079415100000000166e+03 -5.152836500000000264e+00 5.000000000000000000e+00 3.756100000000000064e-03
3.680996999999999741e-01 2.079418000000000120e+03 2.480552015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.066586999999999508e-01 2.079417899999999918e+03 -5.151316200000000123e+00 5.000000000000000000e+00 3.585000000000000079e-03
3.611026999999999987e-01 2.079420999999999822e+03 2.480553015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.140290000000000026e-01 2.079420599999999922e+03 -5.149785099999999893e+00 5.000000000000000000e+00 3.413900000000000094e-03
3.541308000000000233e-01 2.079422999999999774e+03 2.480554015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.213975999999999500e-01 2.079423299999999927e+03 -5.148243299999999856e+00 5.000000000000000000e+00 3.242899999999999949e-03
3.471856999999999860e-01 2.079425999999999931e+03 2.480555015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.287643999999999567e-01 2.079426100000000133e+03 -5.146690800000000010e+00 5.000000000000000000e+00 3.071799999999999965e-03
3.402690999999999910e-01 2.079429000000000087e+03 2.480556015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.361294999999999700e-01 2.079428800000000138e+03 -5.145127399999999795e+00 5.000000000000000000e+00 2.900699999999999980e-03
3.333828999999999820e-01 2.079431999999999789e+03 2.480557015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.434928999999999899e-01 2.079431500000000142e+03 -5.143553299999999773e+00 5.000000000000000000e+00 2.729500000000000155e-03
3.265291000000000166e-01 2.079434000000000196e+03 2.480558015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.508544999999999581e-01 2.079434299999999894e+03 -5.141968499999999942e+00 5.000000000000000000e+00 2.558400000000000171e-03
3.197099999999999942e-01 2.079436999999999898e+03 2.480559015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.582144000000000439e-01 2.079436999999999898e+03 -5.140372900000000023e+00 5.000000000000000000e+00 2.387300000000000186e-03
3.129278999999999811e-01 2.079440000000000055e+03 2.480560015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.655724000000000196e-01 2.079439800000000105e+03 -5.138766500000000015e+00 5.000000000000000000e+00 2.216200000000000201e-03
3.061853999999999965e-01 2.079443000000000211e+03 2.480561015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.729287000000000019e-01 2.079442500000000109e+03 -5.137149400000000199e+00 5.000000000000000000e+00 2.044999999999999943e-03
2.994854000000000127e-01 2.079445000000000164e+03 2.480562015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.802830999999999850e-01 2.079445200000000114e+03 -5.135521500000000295e+00 5.000000000000000000e+00 1.873899999999999958e-03
2.928309000000000051e-01 2.079447999999999865e+03 2.480563015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.876357000000000275e-01 2.079447999999999865e+03 -5.133882800000000302e+00 5.000000000000000000e+00 1.702799999999999973e-03
2.862251000000000101e-01 2.079451000000000022e+03 2.480564015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.949863999999999598e-01 2.079450699999999870e+03 -5.132233399999999612e+00 5.000000000000000000e+00 1.531599999999999932e-03
2.796717000000000231e-01 2.079452999999999975e+03 2.480565015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
