distance year jd planet number
3.963104000000000071e-01 2.079407000000000153e+03 2.480548015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
7.771609999999999907e-01 2.079406899999999951e+03 -5.157332700000000436e+00 5.000000000000000000e+00 4.269300000000000178e-03
1.022181299999999959e+00 2.079406899999999951e+03 -4.976757400000000331e+00 5.100000000000000000e+01 -2.495408000000000071e-01
3.892268999999999868e-01 2.079409999999999854e+03 2.480549015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
7.845379000000000103e-01 2.079409599999999955e+03 -5.155844799999999672e+00 5.000000000000000000e+00 4.098199999999999760e-03
1.023689899999999930e+00 2.079409599999999955e+03 -4.976050100000000143e+00 5.100000000000000000e+01 -2.448551999999999951e-01
3.821631999999999807e-01 2.079411999999999807e+03 2.480550015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
7.919131000000000364e-01 2.079412400000000162e+03 -5.154346000000000316e+00 5.000000000000000000e+00 3.927199999999999615e-03
1.025195099999999915e+00 2.079412400000000162e+03 -4.975332500000000380e+00 5.100000000000000000e+01 -2.401677999999999868e-01
3.751203000000000176e-01 2.079414999999999964e+03 2.480551015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
7.992867999999999640e-01 2.079415100000000166e+03 -5.152836500000000264e+00 5.000000000000000000e+00 3.756100000000000064e-03
1.026696899999999912e+00 2.079415100000000166e+03 -4.974604600000000154e+00 5.100000000000000000e+01 -2.354787000000000130e-01
3.680996999999999741e-01 2.079418000000000120e+03 2.480552015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.066586999999999508e-01 2.079417899999999918e+03 -5.151316200000000123e+00 5.000000000000000000e+00 3.585000000000000079e-03
1.028195100000000028e+00 2.079417899999999918e+03 -4.973866499999999746e+00 5.100000000000000000e+01 -2.307877999999999874e-01
3.611026999999999987e-01 2.079420999999999822e+03 2.480553015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.140290000000000026e-01 2.079420599999999922e+03 -5.149785099999999893e+00 5.000000000000000000e+00 3.413900000000000094e-03
1.029689700000000041e+00 2.079420599999999922e+03 -4.973118099999999764e+00 5.100000000000000000e+01 -2.260949999999999904e-01
3.541308000000000233e-01 2.079422999999999774e+03 2.480554015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.213975999999999500e-01 2.079423299999999927e+03 -5.148243299999999856e+00 5.000000000000000000e+00 3.242899999999999949e-03
1.031180699999999950e+00 2.079423299999999927e+03 -4.972359599999999880e+00 5.100000000000000000e+01 -2.214003999999999972e-01
3.471856999999999860e-01 2.079425999999999931e+03 2.480555015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.287643999999999567e-01 2.079426100000000133e+03 -5.146690800000000010e+00 5.000000000000000000e+00 3.071799999999999965e-03
1.032668099999999978e+00 2.079426100000000133e+03 -4.971591000000000093e+00 5.100000000000000000e+01 -2.167038000000000020e-01
3.402690999999999910e-01 2.079429000000000087e+03 2.480556015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.361294999999999700e-01 2.079428800000000138e+03 -5.145127399999999795e+00 5.000000000000000000e+00 2.900699999999999980e-03
1.034151800000000065e+00 2.079428800000000138e+03 -4.970812399999999798e+00 5.100000000000000000e+01 -2.120052000000000048e-01
3.333828999999999820e-01 2.079431999999999789e+03 2.480557015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.434928999999999899e-01 2.079431500000000142e+03 -5.143553299999999773e+00 5.000000000000000000e+00 2.729500000000000155e-03
1.035631699999999933e+00 2.079431500000000142e+03 -4.970023799999999881e+00 5.100000000000000000e+01 -2.073046000000000055e-01
3.265291000000000166e-01 2.079434000000000196e+03 2.480558015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.508544999999999581e-01 2.079434299999999894e+03 -5.141968499999999942e+00 5.000000000000000000e+00 2.558400000000000171e-03
1.037107800000000024e+00 2.079434299999999894e+03 -4.969225299999999734e+00 5.100000000000000000e+01 -2.026020000000000043e-01
3.197099999999999942e-01 2.079436999999999898e+03 2.480559015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.582144000000000439e-01 2.079436999999999898e+03 -5.140372900000000023e+00 5.000000000000000000e+00 2.387300000000000186e-03
