X Y Z velX velY velZ R year
2.021795661402270294e+00 -4.793044489332835667e+00 2.363575131401562057e+00 1.797423511802251003e-03 2.732292140673860028e-03 3.980899783904661218e-03 5.713792136135932509e+00 2.675005999999999858e+03
2.023591477092296032e+00 -4.790308392916168501e+00 2.367554153839388498e+00 1.794207391601674402e-03 2.739899979334135989e-03 3.977144036515944080e-03 5.713780678041974426e+00 2.675009000000000015e+03
2.025384075230828973e+00 -4.787564690799311684e+00 2.371529417363817505e+00 1.790988407441434409e-03 2.747503542508220736e-03 3.973381956791902439e-03 5.713764791992134384e+00 2.675010999999999967e+03
2.027173452949710963e+00 -4.784813387253627148e+00 2.375500915641493016e+00 1.787766550890523831e-03 2.755102838224239310e-03 3.969613542637526367e-03 5.713744477958316637e+00 2.675014000000000124e+03
2.028959607372315066e+00 -4.782054486543064087e+00 2.379468642336876272e+00 1.784541813474852748e-03 2.762697873302750150e-03 3.965838791829280272e-03 5.713719735905810282e+00 2.675016999999999825e+03
2.030742535613610400e+00 -4.779287992925309148e+00 2.383432591112148557e+00 1.781314186907585317e-03 2.770288653475767079e-03 3.962057702004142916e-03 5.713690565794230736e+00 2.675019999999999982e+03
2.032522234780434367e+00 -4.776513910652808725e+00 2.387392755627046448e+00 1.778083663262124007e-03 2.777875183541121066e-03 3.958270270656733848e-03 5.713656967578395474e+00 2.675021999999999935e+03
2.034298701971952728e+00 -4.773732243973583422e+00 2.391349129538738350e+00 1.774850235088377276e-03 2.785457467531838628e-03 3.954476495142777645e-03 5.713618941209110957e+00 2.675025000000000091e+03
2.036071934280124562e+00 -4.770942997131949248e+00 2.395301706501688610e+00 1.771613895478462222e-03 2.793035508884263423e-03 3.950676372687024658e-03 5.713576486633875184e+00 2.675027999999999793e+03
2.037841928790312895e+00 -4.768146174369022106e+00 2.399250480167503419e+00 1.768374638090808564e-03 2.800609310593751584e-03 3.946869900393900482e-03 5.713529603797441681e+00 2.675030999999999949e+03
2.039608682581783405e+00 -4.765341779923075727e+00 2.403195444184863749e+00 1.765132457142720365e-03 2.808178875351272953e-03 3.943057075259381872e-03 5.713478292642260037e+00 2.675032999999999902e+03
2.041372192728319490e+00 -4.762529818029803685e+00 2.407136592199377478e+00 1.761887347380777314e-03 2.815744205657844286e-03 3.939237894183092968e-03 5.713422553108832957e+00 2.675036000000000058e+03
2.043132456298681010e+00 -4.759710292922443742e+00 2.411073917853521209e+00 1.758639304037335448e-03 2.823305303916655642e-03 3.935412353979758811e-03 5.713362385135959620e+00 2.675039000000000215e+03
2.044889470357087902e+00 -4.756883208831857779e+00 2.415007414786545681e+00 1.755388322779584832e-03 2.830862172504398314e-03 3.931580451389631026e-03 5.713297788660919529e+00 2.675041999999999916e+03
2.046643231963609644e+00 -4.754048569986527362e+00 2.418937076634397609e+00 1.752134399656083211e-03 2.838414813824211187e-03 3.927742183087660176e-03 5.713228763619566664e+00 2.675043999999999869e+03
2.048393738174563161e+00 -4.751206380612478242e+00 2.422862897029688600e+00 1.748877531044079831e-03 2.845963230343322072e-03 3.923897545691244770e-03 5.713155309946385429e+00 2.675047000000000025e+03
