X Y Z year
4.948214199999999785e+00 -1.539044999999999996e-01 -1.086031999999999970e-01 2.675004500000000007e+03
4.948334899999999870e+00 -1.459865999999999941e-01 -1.086420000000000025e-01 2.675007300000000214e+03
4.948443499999999773e+00 -1.380684000000000078e-01 -1.086803999999999965e-01 2.675010000000000218e+03
4.948540000000000383e+00 -1.301498000000000099e-01 -1.087187000000000014e-01 2.675012799999999970e+03
4.948624500000000204e+00 -1.222309000000000034e-01 -1.087565999999999949e-01 2.675015499999999975e+03
4.948696899999999843e+00 -1.143117000000000022e-01 -1.087942999999999966e-01 2.675018199999999979e+03
4.948757200000000189e+00 -1.063922999999999952e-01 -1.088317000000000034e-01 2.675021000000000186e+03
4.948805400000000354e+00 -9.847250000000000447e-02 -1.088689000000000046e-01 2.675023700000000190e+03
4.948841599999999730e+00 -9.055249999999999411e-02 -1.089056999999999942e-01 2.675026499999999942e+03
4.948865699999999812e+00 -8.263230000000000575e-02 -1.089423999999999948e-01 2.675029199999999946e+03
4.948877699999999713e+00 -7.471189999999999776e-02 -1.089786999999999978e-01 2.675031899999999951e+03
4.948877600000000321e+00 -6.679140000000000077e-02 -1.090147999999999950e-01 2.675034700000000157e+03
4.948865500000000139e+00 -5.887060000000000209e-02 -1.090505999999999975e-01 2.675037400000000162e+03
4.948841299999999777e+00 -5.094970000000000054e-02 -1.090861999999999943e-01 2.675040199999999913e+03
4.948805000000000121e+00 -4.302870000000000306e-02 -1.091214999999999963e-01 2.675042899999999918e+03
4.948756600000000283e+00 -3.510749999999999982e-02 -1.091565000000000035e-01 2.675045599999999922e+03
4.948696100000000264e+00 -2.718630000000000005e-02 -1.091913000000000050e-01 2.675048400000000129e+03
4.948623600000000344e+00 -1.926500000000000087e-02 -1.092257999999999979e-01 2.675051100000000133e+03
4.948538899999999963e+00 -1.134369999999999996e-02 -1.092599999999999960e-01 2.675053800000000138e+03
4.948442199999999680e+00 -3.422300000000000082e-03 -1.092938999999999994e-01 2.675056599999999889e+03
4.948333400000000104e+00 4.499099999999999801e-03 -1.093275999999999970e-01 2.675059299999999894e+03
4.948212500000000347e+00 1.242039999999999984e-02 -1.093611000000000028e-01 2.675062100000000100e+03
4.948079500000000408e+00 2.034180000000000016e-02 -1.093941999999999970e-01 2.675064800000000105e+03
4.947934499999999680e+00 2.826309999999999933e-02 -1.094270999999999994e-01 2.675067500000000109e+03
