X Y Z year
2.020896500000000096e+00 -4.794409700000000107e+00 2.361584199999999800e+00 2.675004500000000007e+03
2.022693999999999992e+00 -4.791677400000000198e+00 2.365565099999999976e+00 2.675007300000000214e+03
2.024488199999999960e+00 -4.788937500000000291e+00 2.369542299999999990e+00 2.675010000000000218e+03
2.026279199999999836e+00 -4.786190000000000389e+00 2.373515600000000170e+00 2.675012799999999970e+03
2.028066899999999784e+00 -4.783434899999999601e+00 2.377485300000000024e+00 2.675015499999999975e+03
2.029851499999999920e+00 -4.780672199999999705e+00 2.381451100000000043e+00 2.675018199999999979e+03
2.031632800000000127e+00 -4.777901899999999813e+00 2.385413100000000064e+00 2.675021000000000186e+03
2.033410899999999799e+00 -4.775123999999999924e+00 2.389371399999999923e+00 2.675023700000000190e+03
2.035185699999999986e+00 -4.772338600000000319e+00 2.393325899999999784e+00 2.675026499999999942e+03
2.036957300000000082e+00 -4.769545500000000438e+00 2.397276600000000091e+00 2.675029199999999946e+03
2.038725700000000085e+00 -4.766744899999999951e+00 2.401223400000000119e+00 2.675031899999999951e+03
2.040490800000000160e+00 -4.763936700000000357e+00 2.405166499999999985e+00 2.675034700000000157e+03
2.042252700000000143e+00 -4.761121000000000159e+00 2.409105700000000017e+00 2.675037400000000162e+03
2.044011400000000034e+00 -4.758297699999999963e+00 2.413041100000000050e+00 2.675040199999999913e+03
2.045766799999999996e+00 -4.755466799999999772e+00 2.416972700000000085e+00 2.675042899999999918e+03
2.047518900000000031e+00 -4.752628399999999864e+00 2.420900500000000122e+00 2.675045599999999922e+03
2.049267799999999973e+00 -4.749782500000000240e+00 2.424824399999999880e+00 2.675048400000000129e+03
2.051013399999999987e+00 -4.746928900000000340e+00 2.428744399999999803e+00 2.675051100000000133e+03
2.052755700000000072e+00 -4.744067900000000115e+00 2.432660600000000173e+00 2.675053800000000138e+03
2.054494800000000065e+00 -4.741199299999999894e+00 2.436572899999999819e+00 2.675056599999999889e+03
2.056230699999999967e+00 -4.738323199999999957e+00 2.440481399999999912e+00 2.675059299999999894e+03
2.057963200000000104e+00 -4.735439600000000304e+00 2.444386000000000170e+00 2.675062100000000100e+03
2.059692500000000148e+00 -4.732548399999999766e+00 2.448286700000000149e+00 2.675064800000000105e+03
2.061418499999999820e+00 -4.729649700000000401e+00 2.452183499999999849e+00 2.675067500000000109e+03
2.063141200000000008e+00 -4.726743500000000431e+00 2.456076400000000159e+00 2.675070299999999861e+03
2.064860599999999824e+00 -4.723829799999999857e+00 2.459965400000000191e+00 2.675072999999999865e+03
2.066576799999999992e+00 -4.720908599999999566e+00 2.463850499999999943e+00 2.675075800000000072e+03
2.068289599999999950e+00 -4.717979899999999560e+00 2.467731699999999861e+00 2.675078500000000076e+03
2.069999199999999817e+00 -4.715043699999999838e+00 2.471608900000000109e+00 2.675081200000000081e+03
2.071705500000000200e+00 -4.712099900000000119e+00 2.475482299999999913e+00 2.675083999999999833e+03
2.073408399999999929e+00 -4.709148700000000076e+00 2.479351700000000047e+00 2.675086699999999837e+03
2.075108100000000011e+00 -4.706190099999999710e+00 2.483217100000000066e+00 2.675089500000000044e+03
2.076804500000000164e+00 -4.703223900000000235e+00 2.487078599999999806e+00 2.675092200000000048e+03
2.078497500000000109e+00 -4.700250300000000436e+00 2.490936200000000156e+00 2.675094900000000052e+03
2.080187299999999961e+00 -4.697269099999999753e+00 2.494789799999999946e+00 2.675097699999999804e+03
2.081873700000000049e+00 -4.694280599999999914e+00 2.498639400000000066e+00 2.675100399999999809e+03
