a e i Om w M year jd number node
3.841294349243774775e+00 4.874678394850237018e-01 6.129429986064665314e+01 2.784636777417024973e+02 2.080317300142170325e+02 -1.797260983213896566e+02 2.675005999999999858e+03 2.698085654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841293567658299768e+00 4.874681486167432021e-01 6.129433990990163750e+01 2.784637021897046338e+02 2.080316061664154859e+02 -1.795948995350123596e+02 2.675009000000000015e+03 2.698086654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841292801631571052e+00 4.874684542367410667e-01 6.129437989144768295e+01 2.784637266492694039e+02 2.080314822224408147e+02 -1.794637004034140091e+02 2.675010999999999967e+03 2.698087654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841292051104094885e+00 4.874687563781333610e-01 6.129441985696463036e+01 2.784637511519539999e+02 2.080313581205856508e+02 -1.793325008116642891e+02 2.675014000000000124e+03 2.698088654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841291315658822203e+00 4.874690552141799360e-01 6.129445985934452779e+01 2.784637757302655245e+02 2.080312338098381701e+02 -1.792013006728534776e+02 2.675016999999999825e+03 2.698089654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841290594587204232e+00 4.874693510317595346e-01 6.129449995053167299e+01 2.784638004163381311e+02 2.080311092502875283e+02 -1.790700999273921354e+02 2.675019999999999982e+03 2.698090654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841289886958148436e+00 4.874696442038427557e-01 6.129454017984774339e+01 2.784638252408945505e+02 2.080309844128325381e+02 -1.789388985409322572e+02 2.675021999999999935e+03 2.698091654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841289191683898263e+00 4.874699351633152156e-01 6.129458059281278537e+01 2.784638502325039440e+02 2.080308592783850656e+02 -1.788076965014033988e+02 2.675025000000000091e+03 2.698092654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841288507578836331e+00 4.874702243797071621e-01 6.129462123042063126e+01 2.784638754171126607e+02 2.080307338367552177e+02 -1.786764938156058804e+02 2.675027999999999793e+03 2.698093654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841287833409067431e+00 4.874705123396525508e-01 6.129466212879655984e+01 2.784639008178082236e+02 2.080306080853809476e+02 -1.785452905057146040e+02 2.675030999999999949e+03 2.698094654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841287167932105451e+00 4.874707995313160569e-01 6.129470331915347714e+01 2.784639264547662947e+02 2.080304820280274498e+02 -1.784140866059463235e+02 2.675032999999999902e+03 2.698095654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841286509927049675e+00 4.874710864326156079e-01 6.129474482796402413e+01 2.784639523453320180e+02 2.080303556735456425e+02 -1.782828821595491036e+02 2.675036000000000058e+03 2.698096654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841285858216252347e+00 4.874713735028226025e-01 6.129478667727565266e+01 2.784639785041922551e+02 2.080302290347447070e+02 -1.781516772161957647e+02 2.675039000000000215e+03 2.698097654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841285211679803080e+00 4.874716611770043562e-01 6.129482888510902683e+01 2.784640049436012532e+02 2.080301021274071047e+02 -1.780204718298058424e+02 2.675041999999999916e+03 2.698098654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841284569264219240e+00 4.874719498627497760e-01 6.129487146589406876e+01 2.784640316736333148e+02 2.080299749694549973e+02 -1.778892660567815085e+02 2.675043999999999869e+03 2.698099654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841283929986651469e+00 4.874722399386533511e-01 6.129491443091079361e+01 2.784640587024409797e+02 2.080298475802636631e+02 -1.777580599546199096e+02 2.675047000000000025e+03 2.698100654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
