X Y Z VelX VelY VelZ M year r
4.766769491213018739e+00 1.332965668781876500e+00 -8.864090741697525089e-02 -2.132073950450912372e-03 7.625266984780223849e-03 1.256807969329918466e-05 0.000000000000000000e+00 2.673200381512933291e+03 4.950428877074999789e+00
4.742812289117330771e+00 1.415978175812652617e+00 -8.849089322782105471e-02 -2.258633325098046481e-03 7.588682350288796473e-03 1.492545884043669996e-05 9.059114970749776452e-01 2.673233331512933091e+03 4.950463942133541018e+00
4.717476851132250459e+00 1.498581761656848865e+00 -8.831517247205793175e-02 -2.384534901908620490e-03 7.549894152014048621e-03 1.727846959232589387e-05 1.811848660503472708e+00 2.673266281512932892e+03 4.950569129608024532e+00
4.690769730791975789e+00 1.580754746705833158e+00 -8.811378957425342051e-02 -2.509740330042705293e-03 7.508914205216917458e-03 1.962639519909774918e-05 2.717837152092299036e+00 2.673299231512932693e+03 4.950744416394404546e+00
4.662697784161671244e+00 1.662475542069663970e+00 -8.788679460487468231e-02 -2.634211470713989939e-03 7.465754992786190723e-03 2.196852045986732237e-05 3.623902624553191121e+00 2.673332181512932493e+03 4.950989763983753456e+00
4.633268169106278478e+00 1.743722652439430698e+00 -8.763424327679293635e-02 -2.757910408807250774e-03 7.420429661436062259e-03 2.430413194059162729e-05 4.530070716951076548e+00 2.673365131512932294e+03 4.951305118459024435e+00
4.602488344582506663e+00 1.824474678964274066e+00 -8.735619694224543152e-02 -2.880799464427646808e-03 7.372952017701534140e-03 2.663251819138806221e-05 5.436367050147343782e+00 2.673398081512932094e+03 4.951690410490524386e+00
4.570366069952972232e+00 1.904710322145602319e+00 -8.705272259024630921e-02 -3.002841204378389663e-03 7.323336523732817266e-03 2.895296996324916492e-05 6.342817222236413421e+00 2.673431031512931895e+03 4.952145555330108806e+00
4.536909404321362693e+00 1.984408384750860899e+00 -8.672389284443261792e-02 -3.123998453563233205e-03 7.271598292890015837e-03 3.126478042408628068e-05 7.249446803974002762e+00 2.673463981512931696e+03 4.952670452804147416e+00
4.502126705887382840e+00 2.063547774749299624e+00 -8.636978596133303154e-02 -3.244234306310404044e-03 7.217753085139433193e-03 3.356724537403812399e-05 8.156281334195394805e+00 2.673496931512931496e+03 4.953264987305259659e+00
4.466026631320220375e+00 2.142107508271981153e+00 -8.599048582904342264e-02 -3.363512137614407208e-03 7.161817302252971792e-03 3.585966345997648204e-05 9.063346315222148064e+00 2.673529881512931297e+03 4.953929027782871586e+00
4.428618135149095636e+00 2.220066712598399494e+00 -8.558608196629224896e-02 -3.481795614292353732e-03 7.103807982811954393e-03 3.814133638914521699e-05 9.970667208255511227e+00 2.673562831512931098e+03 4.954662427732615448e+00
4.389910469169423735e+00 2.297404629171915236e+00 -8.515666952187664340e-02 -3.599048706051417943e-03 7.043742797017024833e-03 4.041156914186715598e-05 1.087826942875513048e+01 2.673595781512930898e+03 4.955465025184609296e+00
4.349913181863044542e+00 2.374100616646210415e+00 -8.470234927444926509e-02 -3.715235696463981430e-03 6.981640041305655839e-03 4.266967018325336266e-05 1.178617834180126422e+01 2.673628731512930699e+03 4.956336642690688521e+00
4.308636117830814349e+00 2.450134153964959260e+00 -8.422322763263329071e-02 -3.830321193847241457e-03 6.917518632778830306e-03 4.491495167385200479e-05 1.269441925743915078e+01 2.673661681512930500e+03 4.957277087310596464e+00
4.266089417235857439e+00 2.525484843476751173e+00 -8.371941663544169021e-02 -3.944270142043836483e-03 6.851398103438747014e-03 4.714672967917053249e-05 1.360301742600379349e+01 2.673694631512930300e+03 4.958286150597236208e+00
