X Y Z velX velY velZ M year r
4.766769491213018739e+00 1.332965668781876500e+00 -8.864090741697525089e-02 -2.132073950450913240e-03 7.625266984780223849e-03 1.256807969329918636e-05 0.000000000000000000e+00 2.010773581516683862e+03 4.950428877074999789e+00
4.742812289117330771e+00 1.415978175812652395e+00 -8.849089322782104083e-02 -2.258633325098046481e-03 7.588682350288796473e-03 1.492545884043669996e-05 9.059114970749777562e-01 2.012485419803761715e+03 4.950463942133541018e+00
4.717476851132249571e+00 1.498581761656849087e+00 -8.831517247205793175e-02 -2.384534901908620056e-03 7.549894152014046886e-03 1.727846959232589726e-05 1.811848660503472930e+00 2.014197258090839568e+03 4.950569129608024532e+00
4.690769730791975789e+00 1.580754746705833380e+00 -8.811378957425342051e-02 -2.509740330042705293e-03 7.508914205216917458e-03 1.962639519909774918e-05 2.717837152092299480e+00 2.015909096377917422e+03 4.950744416394405434e+00
4.662697784161671244e+00 1.662475542069664192e+00 -8.788679460487469619e-02 -2.634211470713989939e-03 7.465754992786192458e-03 2.196852045986732237e-05 3.623902624553191121e+00 2.017620934664995275e+03 4.950989763983753456e+00
4.633268169106278478e+00 1.743722652439430920e+00 -8.763424327679293635e-02 -2.757910408807250774e-03 7.420429661436062259e-03 2.430413194059162729e-05 4.530070716951077436e+00 2.019332772952073128e+03 4.951305118459025323e+00
4.602488344582506663e+00 1.824474678964274066e+00 -8.735619694224544540e-02 -2.880799464427646808e-03 7.372952017701535007e-03 2.663251819138805882e-05 5.436367050147344671e+00 2.021044611239150981e+03 4.951690410490525274e+00
4.570366069952972232e+00 1.904710322145602319e+00 -8.705272259024632309e-02 -3.002841204378390097e-03 7.323336523732817266e-03 2.895296996324916492e-05 6.342817222236412533e+00 2.022756449526228835e+03 4.952145555330108806e+00
4.536909404321362693e+00 1.984408384750861121e+00 -8.672389284443260404e-02 -3.123998453563233638e-03 7.271598292890014970e-03 3.126478042408628068e-05 7.249446803974001874e+00 2.024468287813306688e+03 4.952670452804147416e+00
4.502126705887382840e+00 2.063547774749299624e+00 -8.636978596133303154e-02 -3.244234306310404044e-03 7.217753085139434061e-03 3.356724537403811721e-05 8.156281334195396582e+00 2.026180126100384541e+03 4.953264987305259659e+00
4.466026631320221263e+00 2.142107508271981597e+00 -8.599048582904342264e-02 -3.363512137614407208e-03 7.161817302252971792e-03 3.585966345997648882e-05 9.063346315222148064e+00 2.027891964387462394e+03 4.953929027782872474e+00
4.428618135149095636e+00 2.220066712598399494e+00 -8.558608196629224896e-02 -3.481795614292354166e-03 7.103807982811954393e-03 3.814133638914522377e-05 9.970667208255513003e+00 2.029603802674540248e+03 4.954662427732615448e+00
4.389910469169423735e+00 2.297404629171915236e+00 -8.515666952187662953e-02 -3.599048706051418377e-03 7.043742797017025700e-03 4.041156914186716276e-05 1.087826942875513048e+01 2.031315640961618101e+03 4.955465025184610184e+00
4.349913181863045430e+00 2.374100616646210415e+00 -8.470234927444926509e-02 -3.715235696463981864e-03 6.981640041305656706e-03 4.266967018325335589e-05 1.178617834180126422e+01 2.033027479248695954e+03 4.956336642690689409e+00
4.308636117830814349e+00 2.450134153964959260e+00 -8.422322763263329071e-02 -3.830321193847242324e-03 6.917518632778830306e-03 4.491495167385200479e-05 1.269441925743914723e+01 2.034739317535773807e+03 4.957277087310597352e+00
4.266089417235858328e+00 2.525484843476751173e+00 -8.371941663544169021e-02 -3.944270142043837350e-03 6.851398103438747014e-03 4.714672967917053249e-05 1.360301742600379526e+01 2.036451155822851661e+03 4.958286150597236208e+00
4.222283515255636388e+00 2.600132414087361177e+00 -8.319103395297536285e-02 -4.057047831100306021e-03 6.783298594239163190e-03 4.936432437800892717e-05 1.451199803342389849e+01 2.038162994109929514e+03 4.959363608580987126e+00
4.177229141540928836e+00 2.674056724451340905e+00 -8.263820288737323827e-02 -4.168619907840045470e-03 6.713240848950281260e-03 5.156706026953935526e-05 1.542138619650319598e+01 2.039874832397007367e+03 4.960509221753211406e+00
4.130937319679718556e+00 2.747237766204890352e+00 -8.206105237398451935e-02 -4.278952386327667702e-03 6.641246207839978689e-03 5.375426637907100992e-05 1.633120695817800083e+01 2.041586670684085220e+03 4.961722735048969213e+00
4.083419366663927796e+00 2.819655667241852015e+00 -8.145971698273396511e-02 -4.388011658221406888e-03 6.567336601173362834e-03 5.592527646243498028e-05 1.724148528274936965e+01 2.043298508971163074e+03 4.963003877829033961e+00
4.034686892356837085e+00 2.891290695034653080e+00 -8.083433691964660162e-02 -4.495764503010565676e-03 6.491534542532606707e-03 5.807942920892881909e-05 1.815224605108858924e+01 2.045010347258240927e+03 4.964352363861300077e+00
3.984751798958935165e+00 2.962123260001962688e+00 -8.018505802849926201e-02 -4.602178098134798202e-03 6.413863121959074466e-03 6.021606844275830439e-05 1.906351405581464675e+01 2.046722185545318780e+03 4.965767891301622328e+00
3.933626280469939562e+00 3.032133918924694971e+00 -7.951203179256308151e-02 -4.707220028982171504e-03 6.334345998919905900e-03 6.233454332291450792e-05 1.997531399644232408e+01 2.048434023832396633e+03 4.967250142674232372e+00
3.881322822144513296e+00 3.101303378412046285e+00 -7.881541533639986608e-02 -4.810858298762986894e-03 6.253007395101072181e-03 6.443420854142691142e-05 2.088767047449973902e+01 2.050145862119474259e+03 4.968798784851774286e+00
3.827854199939290769e+00 3.169612498419009938e+00 -7.809537142767392082e-02 -4.913061338256303860e-03 6.169872087029237839e-03 6.651442451993002628e-05 2.180060798861405047e+01 2.051857700406552340e+03 4.970413469035075416e+00
3.773233479948618907e+00 3.237042295816905391e+00 -7.735206847893953686e-02 -5.013798015426237410e-03 6.084965398524594740e-03 6.857455760448549114e-05 2.271415092956420878e+01 2.053569538693630420e+03 4.972093830732754682e+00
3.717474017826429389e+00 3.303573948018251549e+00 -7.658568054936189251e-02 -5.113037644905049466e-03 5.998313192986973533e-03 7.061398025859846471e-05 2.362832357529961058e+01 2.055281376980708046e+03 4.973839489740766062e+00
3.660589458191509493e+00 3.369188796657354157e+00 -7.579638734632843100e-02 -5.210749997340251814e-03 5.909941865517595247e-03 7.263207125437233503e-05 2.454315008592356762e+01 2.056993215267785672e+03 4.975650050121993573e+00
3.602593734013462612e+00 3.433868351327741930e+00 -7.498437422690586163e-02 -5.306905308602731693e-03 5.819878334878882120e-03 7.462821586174008112e-05 2.545865449864065511e+01 2.058705053554863753e+03 4.977525100185991924e+00
3.543501065976510489e+00 3.497594293377677133e+00 -7.414983219909697387e-02 -5.401474288853207704e-03 5.728150035294728507e-03 7.660180603571737235e-05 2.637486072266689874e+01 2.060416891841941833e+03 4.979464212469039808e+00
