ID,distance,year,jd,planet,number
0,0.30931,2257.398,2545557.7737,5.0,1.0
16,0.3048586,2067.599,2476235.3019,5.0,2.0
97,0.3121317,2067.598,2476234.6097,5.0,3.0
220,0.2983541,2079.44,2480560.095,5.0,4.0
302,0.3023597,2079.441,2480560.3689,5.0,5.0
364,0.3165139,2115.061,2493569.8155,5.0,6.0
399,0.315189,2055.809,2471928.8496,5.0,7.0
436,0.305771,2150.685,2506581.4225,5.0,8.0
519,0.3048591,2115.083,2493577.8646,5.0,9.0
558,0.3062618,2067.598,2476234.8489,5.0,10.0
656,0.3142683,2257.369,2545547.0123,5.0,11.0
715,0.2981467,2079.44,2480560.164,5.0,12.0
792,0.3213857,2055.83,2471936.5604,5.0,13.0
826,0.3098416,2518.326,2640859.5774,5.0,14.0
846,0.3022885,2067.62,2476242.9432,5.0,15.0
982,0.2958652,2055.777,2471917.0456,5.0,16.0
1057,0.3069094,2387.843,2593201.1306,5.0,17.0
1093,0.289129,2067.596,2476233.9337,5.0,18.0
1217,0.3134071,2055.829,2471936.0754,5.0,19.0
1256,0.2937088,2067.595,2476233.6757,5.0,20.0
1353,0.3000891,2079.439,2480559.8633,5.0,21.0
1468,0.3013388,2055.751,2471907.6042,5.0,22.0
1516,0.3066671,2150.623,2506558.8073,5.0,23.0
1583,0.3024285,2055.749,2471906.9259,5.0,24.0
1629,0.3130394,2067.635,2476248.4349,5.0,25.0
1792,0.2943969,2067.621,2476243.3365,5.0,26.0
1911,0.2991926,2150.629,2506561.0981,5.0,27.0
1970,0.3120439,2067.641,2476250.2857,5.0,28.0
2131,0.3135131,2055.745,2471905.5648,5.0,29.0
2175,0.2825285,2067.612,2476239.8033,5.0,30.0
2295,0.3181273,2257.38,2545551.3245,5.0,31.0
2352,0.3109411,2067.598,2476234.9462,5.0,32.0
2499,0.3105564,2055.76,2471911.0786,5.0,33.0
2573,0.3109513,2055.76,2471910.8744,5.0,34.0
2640,0.3208456,2055.789,2471921.3598,5.0,35.0
2671,0.2839447,2067.612,2476239.7205,5.0,36.0
2770,0.2874189,2067.611,2476239.6395,5.0,37.0
2930,0.3075605,2055.764,2471912.3507,5.0,38.0
2969,0.2978642,2067.596,2476234.1698,5.0,39.0
3058,0.3021913,2055.757,2471909.7939,5.0,40.0
3130,0.3179889,2067.636,2476248.5731,5.0,41.0
3259,0.3025883,2055.751,2471907.5707,5.0,42.0
3297,0.292931,2067.6,2476235.6673,5.0,43.0
3338,0.3174086,2257.378,2545550.3789,5.0,44.0
3391,0.3152574,2257.381,2545551.4459,5.0,45.0
3419,0.3026436,2067.599,2476235.097,5.0,46.0
3480,0.3182484,2055.81,2471929.0832,5.0,47.0
3524,0.29749,2055.777,2471917.2752,5.0,48.0
3568,0.3154938,2150.626,2506560.0262,5.0,49.0
3614,0.317323,2138.755,2502224.2181,5.0,50.0
3676,0.2964875,2067.655,2476255.6864,5.0,51.0
3743,0.3020024,2138.821,2502248.0412,5.0,52.0
3810,0.2993201,2079.439,2480559.8642,5.0,53.0
3905,0.2978236,2079.44,2480560.2685,5.0,54.0
3993,0.3110774,2067.608,2476238.5157,5.0,55.0
4078,0.305264,2067.659,2476257.1514,5.0,56.0
4155,0.3164266,2055.783,2471919.1374,5.0,57.0
4191,0.3069777,2150.623,2506558.8007,5.0,58.0
4241,0.3041784,2115.065,2493571.1378,5.0,59.0
4276,0.3064947,2079.488,2480577.5285,5.0,60.0
4380,0.2981032,2257.378,2545550.4594,5.0,61.0
4414,0.2994748,2079.44,2480560.153,5.0,62.0
4527,0.3011274,2079.447,2480562.6702,5.0,63.0
4699,0.3009195,2067.593,2476232.8106,5.0,64.0
4767,0.3001475,2079.441,2480560.312,5.0,65.0
4854,0.3089484,2150.633,2506562.477,5.0,66.0
4926,0.2883331,2150.647,2506567.833,5.0,67.0
4978,0.3131193,2055.809,2471928.8525,5.0,68.0
5036,0.3055338,2115.066,2493571.4342,5.0,69.0
5079,0.3021808,2067.593,2476233.0139,5.0,70.0
5150,0.3086293,2067.592,2476232.479,5.0,71.0
5214,0.2908231,2328.57,2571552.2076,5.0,72.0
