distance year jd planet node number
5.399300000000000106e-03 2.533016000000000076e+03 2.646225475899999961e+06 3.000000000000000000e+00 2.791345000000000027e+02 3.760000000000000000e+02
3.536800000000000100e-03 2.533016999999999825e+03 2.646225559200000018e+06 3.000000000000000000e+00 2.792192999999999756e+02 3.760000000000000000e+02
2.323599999999999884e-03 2.533016999999999825e+03 2.646225615000000224e+06 3.000000000000000000e+00 2.792762000000000171e+02 3.760000000000000000e+02
1.559400000000000066e-03 2.533016999999999825e+03 2.646225652900000103e+06 3.000000000000000000e+00 2.793147999999999911e+02 3.760000000000000000e+02
1.134400000000000035e-03 2.533016999999999825e+03 2.646225678199999966e+06 3.000000000000000000e+00 2.793405000000000200e+02 3.760000000000000000e+02
9.378999999999999750e-04 2.533016999999999825e+03 2.646225695999999996e+06 3.000000000000000000e+00 2.793586999999999989e+02 3.760000000000000000e+02
8.905999999999999637e-04 2.533016999999999825e+03 2.646225709900000133e+06 3.000000000000000000e+00 2.793727999999999838e+02 3.760000000000000000e+02
9.405000000000000382e-04 2.533016999999999825e+03 2.646225722200000193e+06 3.000000000000000000e+00 2.793852999999999724e+02 3.760000000000000000e+02
1.064899999999999918e-03 2.533016999999999825e+03 2.646225734499999788e+06 3.000000000000000000e+00 2.793978000000000179e+02 3.760000000000000000e+02
1.259200000000000033e-03 2.533016999999999825e+03 2.646225747899999842e+06 3.000000000000000000e+00 2.794114999999999895e+02 3.760000000000000000e+02
1.529799999999999997e-03 2.533016999999999825e+03 2.646225763300000224e+06 3.000000000000000000e+00 2.794272000000000276e+02 3.760000000000000000e+02
1.887299999999999959e-03 2.533016999999999825e+03 2.646225781700000167e+06 3.000000000000000000e+00 2.794458999999999946e+02 3.760000000000000000e+02
2.349400000000000186e-03 2.533016999999999825e+03 2.646225804000000004e+06 3.000000000000000000e+00 2.794687000000000126e+02 3.760000000000000000e+02
2.935699999999999855e-03 2.533016999999999825e+03 2.646225831300000194e+06 3.000000000000000000e+00 2.794963999999999942e+02 3.760000000000000000e+02
3.683599999999999982e-03 2.533016999999999825e+03 2.646225865300000180e+06 3.000000000000000000e+00 2.795310999999999808e+02 3.760000000000000000e+02
4.623900000000000232e-03 2.533018000000000029e+03 2.646225907500000205e+06 3.000000000000000000e+00 2.795740000000000123e+02 3.760000000000000000e+02
5.790400000000000234e-03 2.533018000000000029e+03 2.646225959300000221e+06 3.000000000000000000e+00 2.796268000000000029e+02 3.760000000000000000e+02
4.432400000000000402e-03 2.744027999999999793e+03 2.723294783199999947e+06 3.000000000000000000e+00 2.793340000000000032e+02 4.110000000000000000e+02
3.194400000000000017e-03 2.744027999999999793e+03 2.723294854299999774e+06 3.000000000000000000e+00 2.794064000000000192e+02 4.110000000000000000e+02
2.610299999999999860e-03 2.744027999999999793e+03 2.723294904300000053e+06 3.000000000000000000e+00 2.794572999999999752e+02 4.110000000000000000e+02
2.455900000000000010e-03 2.744028999999999996e+03 2.723294942700000014e+06 3.000000000000000000e+00 2.794965000000000259e+02 4.110000000000000000e+02
2.578899999999999856e-03 2.744028999999999996e+03 2.723294976400000043e+06 3.000000000000000000e+00 2.795308999999999742e+02 4.110000000000000000e+02
2.910600000000000166e-03 2.744028999999999996e+03 2.723295009899999946e+06 3.000000000000000000e+00 2.795649000000000228e+02 4.110000000000000000e+02
3.436100000000000092e-03 2.744028999999999996e+03 2.723295046200000215e+06 3.000000000000000000e+00 2.796019000000000005e+02 4.110000000000000000e+02
4.171700000000000408e-03 2.744028999999999996e+03 2.723295087999999989e+06 3.000000000000000000e+00 2.796444999999999936e+02 4.110000000000000000e+02
5.145099999999999674e-03 2.744028999999999996e+03 2.723295137699999847e+06 3.000000000000000000e+00 2.796951000000000249e+02 4.110000000000000000e+02
5.482400000000000120e-03 2.764027999999999793e+03 2.730599743600000162e+06 3.000000000000000000e+00 2.791657000000000153e+02 8.310000000000000000e+02
5.061999999999999660e-03 2.764027999999999793e+03 2.730599826499999966e+06 3.000000000000000000e+00 2.792500000000000000e+02 8.310000000000000000e+02
5.217799999999999869e-03 2.764027999999999793e+03 2.730599895000000019e+06 3.000000000000000000e+00 2.793197000000000116e+02 8.310000000000000000e+02
5.800699999999999780e-03 2.764028999999999996e+03 2.730599963899999857e+06 3.000000000000000000e+00 2.793899000000000115e+02 8.310000000000000000e+02
5.225500000000000110e-03 2.586018000000000029e+03 2.665583920299999882e+06 3.000000000000000000e+00 2.789863000000000284e+02 9.070000000000000000e+02
3.995199999999999967e-03 2.586018000000000029e+03 2.665584006000000052e+06 3.000000000000000000e+00 2.790735999999999990e+02 9.070000000000000000e+02
3.558500000000000031e-03 2.586018000000000029e+03 2.665584063200000208e+06 3.000000000000000000e+00 2.791318999999999733e+02 9.070000000000000000e+02
3.510600000000000005e-03 2.586018000000000029e+03 2.665584097099999897e+06 3.000000000000000000e+00 2.791664999999999850e+02 9.070000000000000000e+02
3.597899999999999796e-03 2.586018000000000029e+03 2.665584124900000170e+06 3.000000000000000000e+00 2.791947999999999865e+02 9.070000000000000000e+02
3.822600000000000216e-03 2.586018000000000029e+03 2.665584156200000085e+06 3.000000000000000000e+00 2.792266999999999939e+02 9.070000000000000000e+02
4.257600000000000273e-03 2.586018000000000029e+03 2.665584195199999958e+06 3.000000000000000000e+00 2.792665000000000077e+02 9.070000000000000000e+02
4.990800000000000097e-03 2.586018000000000029e+03 2.665584244899999816e+06 3.000000000000000000e+00 2.793170999999999822e+02 9.070000000000000000e+02
6.060099999999999688e-03 2.586018999999999778e+03 2.665584305699999910e+06 3.000000000000000000e+00 2.793790999999999940e+02 9.070000000000000000e+02
5.507200000000000290e-03 2.836030000000000200e+03 2.756898498399999924e+06 3.000000000000000000e+00 2.794631999999999721e+02 9.810000000000000000e+02
5.393000000000000224e-03 2.836030000000000200e+03 2.756898577800000086e+06 3.000000000000000000e+00 2.795441000000000145e+02 9.810000000000000000e+02
5.818900000000000114e-03 2.836030000000000200e+03 2.756898650700000115e+06 3.000000000000000000e+00 2.796184000000000083e+02 9.810000000000000000e+02
5.867299999999999773e-03 2.833025999999999840e+03 2.755802074700000230e+06 3.000000000000000000e+00 2.787927999999999997e+02 9.830000000000000000e+02
4.194400000000000038e-03 2.833025999999999840e+03 2.755802171200000215e+06 3.000000000000000000e+00 2.788910000000000196e+02 9.830000000000000000e+02
3.419399999999999957e-03 2.833027000000000044e+03 2.755802235799999908e+06 3.000000000000000000e+00 2.789569000000000187e+02 9.830000000000000000e+02
3.200300000000000106e-03 2.833027000000000044e+03 2.755802273500000127e+06 3.000000000000000000e+00 2.789952999999999861e+02 9.830000000000000000e+02
3.173000000000000039e-03 2.833027000000000044e+03 2.755802293300000019e+06 3.000000000000000000e+00 2.790153999999999996e+02 9.830000000000000000e+02
3.193399999999999885e-03 2.833027000000000044e+03 2.755802307800000068e+06 3.000000000000000000e+00 2.790303000000000111e+02 9.830000000000000000e+02
3.254599999999999854e-03 2.833027000000000044e+03 2.755802323799999896e+06 3.000000000000000000e+00 2.790464999999999804e+02 9.830000000000000000e+02
3.383399999999999949e-03 2.833027000000000044e+03 2.755802343599999789e+06 3.000000000000000000e+00 2.790667000000000257e+02 9.830000000000000000e+02
3.629400000000000074e-03 2.833027000000000044e+03 2.755802369400000200e+06 3.000000000000000000e+00 2.790930000000000177e+02 9.830000000000000000e+02
4.064100000000000178e-03 2.833027000000000044e+03 2.755802403700000141e+06 3.000000000000000000e+00 2.791279000000000110e+02 9.830000000000000000e+02
4.779099999999999668e-03 2.833027000000000044e+03 2.755802449200000148e+06 3.000000000000000000e+00 2.791743000000000166e+02 9.830000000000000000e+02
