a e i Om w M year jd number v
3.118491652999999975e+00 6.177575889999999958e-01 7.085917205799999863e+01 2.828959400319999986e+02 1.714275062629999979e+02 9.047812269999999657e-01 2.003178772922999997e+03 2.452705555410032161e+06 1.000000000000000000e+00 4.891289672000000088e+00
3.138113798000000010e+00 6.201554900000000314e-01 7.074998199600000248e+01 2.829071362980000117e+02 1.713624309429999926e+02 1.772717179999999948e-01 2.003167669189999970e+03 2.452701499858200084e+06 2.000000000000000000e+00 9.285950200000000487e-01
3.138359175000000167e+00 6.201901429999999715e-01 7.074259931800000345e+01 2.829037805749999848e+02 1.713729189029999986e+02 9.328855249999999932e-01 2.003179339456999969e+03 2.452705762332054786e+06 3.000000000000000000e+00 5.042066578000000021e+00
3.145333729999999939e+00 6.210253350000000117e-01 7.077026954800000169e+01 2.829043416249999723e+02 1.714167783050000082e+02 1.339648529999999949e-01 2.003167007566999928e+03 2.452701258205442224e+06 4.000000000000000000e+00 7.492814199999999758e-01
3.149258815000000045e+00 6.214692960000000044e-01 7.081891541900000675e+01 2.828990692739999986e+02 1.715190384080000001e+02 1.065929718000000026e+00 2.003181480072000113e+03 2.452706544174956158e+06 5.000000000000000000e+00 5.939206128000000362e+00
3.102979711999999779e+00 6.158538359999999878e-01 7.078245445599999641e+01 2.829027499370000100e+02 1.713246125599999914e+02 4.794304399999999716e-02 2.003165659631999915e+03 2.452700765882614069e+06 6.000000000000000000e+00 1.814824439999999928e-01
3.116728651999999933e+00 6.175825799999999921e-01 7.079598864700000149e+01 2.829002736539999887e+02 1.712395386690000123e+02 9.444506169999999923e-01 2.003179367531000025e+03 2.452705772585986182e+06 7.000000000000000000e+00 4.913883640999999969e+00
3.119757851000000137e+00 6.179111659999999562e-01 7.084951906499999552e+01 2.828964446790000125e+02 1.714363667759999998e+02 8.706084779999999634e-01 2.003178258264000078e+03 2.452705367434856948e+06 8.000000000000000000e+00 4.719922290999999603e+00
3.100631615999999813e+00 6.155631459999999500e-01 7.078538706099999445e+01 2.829021990489999894e+02 1.713585695349999867e+02 1.036970779999999981e-01 2.003166504409000026e+03 2.452701074430780020e+06 9.000000000000000000e+00 5.122429530000000009e-01
3.137890586000000148e+00 6.201592280000000068e-01 7.079330647899999462e+01 2.829003746320000232e+02 1.712739082800000006e+02 1.049743443999999970e+00 2.003181140617999972e+03 2.452706420191998128e+06 1.000000000000000000e+01 5.574503575999999683e+00
3.118844120999999969e+00 6.178065230000000518e-01 7.084798717600000373e+01 2.828967248779999863e+02 1.714009040660000096e+02 9.131928000000000267e-01 2.003178903970999954e+03 2.452705603274257854e+06 1.100000000000000000e+01 4.911106037999999785e+00
3.145400469000000143e+00 6.210376509999999683e-01 7.077510251500000038e+01 2.829030961799999773e+02 1.713573584760000017e+02 3.563443700000000214e-01 2.003170453700000053e+03 2.452702516878556926e+06 1.200000000000000000e+01 1.902879696000000065e+00
3.117893984000000174e+00 6.176898560000000371e-01 7.084634487499999977e+01 2.828975432369999794e+02 1.714001917159999948e+02 1.067033128999999914e+00 2.003181250344000091e+03 2.452706460268788971e+06 1.300000000000000000e+01 5.733255310999999743e+00
