a e i Om w M year jd number node
3.128447994813164268e+00 6.155519391753139224e-01 7.063707603629512732e+01 2.829089015820992472e+02 1.712656017236802199e+02 6.860386422118001803e+01 1.993178000000000111e+03 2.449053555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.159821118950588481e+00 6.063962036304022529e-01 7.009173327648052521e+01 2.830277204262297346e+02 1.703651918732952311e+02 1.412934022865599388e+02 1.983181000000000040e+03 2.445401555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.161159277595678496e+00 6.063290503168846657e-01 7.035795213299496709e+01 2.831466685395052991e+02 1.702377841254316877e+02 -1.390208144818697065e+02 1.973181000000000040e+03 2.441749555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.113010393349997074e+00 6.322620288357152507e-01 7.067264459016826095e+01 2.833072885668639174e+02 1.701089076356497003e+02 -7.226210574267911113e+01 1.963183999999999969e+03 2.438097555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.100404486073824017e+00 6.375601344678327731e-01 7.088562095379860750e+01 2.833269991260838196e+02 1.700119822294706751e+02 -1.057606392879726442e+01 1.953183999999999969e+03 2.434445555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.095954301521265162e+00 6.389099846607710909e-01 7.097151576818482965e+01 2.832855443759084437e+02 1.700205539230195768e+02 4.919951839880501865e+01 1.943185999999999922e+03 2.430793555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.097469531818426436e+00 6.387334920099512203e-01 7.092911772867950049e+01 2.832610972924196631e+02 1.700628277833455968e+02 1.086270931619989710e+02 1.933185999999999922e+03 2.427141555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.104100100053301059e+00 6.375044656789462527e-01 7.074974840300384926e+01 2.832567576159983673e+02 1.699544867810801065e+02 1.691427046256949893e+02 1.923189000000000078e+03 2.423489555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.123886511955304535e+00 6.333847472774828402e-01 7.068401662456558654e+01 2.833054719340768202e+02 1.694207035663139322e+02 -1.275100131085957571e+02 1.913189000000000078e+03 2.419837555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.128601393063128899e+00 6.321881957078371306e-01 7.029353315502797273e+01 2.833811240669398330e+02 1.693101826319535803e+02 -5.786296628774915973e+01 1.903192000000000007e+03 2.416185555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.083778629946455130e+00 6.577449987139111220e-01 7.087080405249440673e+01 2.835982093304747877e+02 1.692493271632510812e+02 8.246982278224918028e-01 1.893189000000000078e+03 2.412533555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.072218412461289017e+00 6.619309155883346119e-01 7.107012178027696336e+01 2.835997493326703989e+02 1.691956714985735744e+02 5.361043731393143474e+01 1.883192000000000007e+03 2.408881555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.069612342705284824e+00 6.626509814657535191e-01 7.111632307477287895e+01 2.835631335100566162e+02 1.692258839597327551e+02 1.045713603085221166e+02 1.873192000000000007e+03 2.405229555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.073041083231200954e+00 6.620989475570869809e-01 7.099173174306565670e+01 2.835473653931879312e+02 1.691987615461206644e+02 1.556221791040239850e+02 1.863194999999999936e+03 2.401577555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.087926247669254387e+00 6.592827617155269104e-01 7.074182435305213801e+01 2.835550538261757652e+02 1.688472311992289008e+02 -1.512164384970861022e+02 1.853194999999999936e+03 2.397925555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.089885059444246185e+00 6.592002232112270654e-01 7.069851077640018389e+01 2.836392985354534630e+02 1.687942347382003163e+02 -9.408343086463526106e+01 1.843196999999999889e+03 2.394273555399999954e+06 1.000000000000000000e+00 0.000000000000000000e+00
