distance year jd planet number
2.861100000000000101e-02 1.343555000000000064e+03 2.211790932099999860e+06 1.000000000000000000e+00 1.000000000000000000e+00
2.749760000000000051e-02 1.343553000000000111e+03 2.211790527100000065e+06 1.000000000000000000e+00 1.000000000000000000e+00
3.259170000000000122e-02 1.343553000000000111e+03 2.211790223799999803e+06 1.000000000000000000e+00 1.000000000000000000e+00
2.836124999999999896e-01 1.842349999999999909e+03 2.393964114599999972e+06 5.000000000000000000e+00 2.000000000000000000e+00
2.667641000000000040e-01 1.842334000000000060e+03 2.393958448100000154e+06 5.000000000000000000e+00 2.000000000000000000e+00
2.568171000000000204e-01 1.842318999999999960e+03 2.393953103600000031e+06 5.000000000000000000e+00 2.000000000000000000e+00
2.533562999999999787e-01 1.842306000000000040e+03 2.393948021499999799e+06 5.000000000000000000e+00 2.000000000000000000e+00
2.558402000000000176e-01 1.842291999999999916e+03 2.393943073199999984e+06 5.000000000000000000e+00 2.000000000000000000e+00
2.639221999999999957e-01 1.842278000000000020e+03 2.393938129399999976e+06 5.000000000000000000e+00 2.000000000000000000e+00
2.773784999999999723e-01 1.842265000000000100e+03 2.393933098699999973e+06 5.000000000000000000e+00 2.000000000000000000e+00
2.938138000000000138e-01 1.842251999999999953e+03 2.393928465600000229e+06 5.000000000000000000e+00 2.000000000000000000e+00
2.949885999999999897e-01 1.735614000000000033e+03 2.354979458399999887e+06 5.000000000000000000e+00 2.000000000000000000e+00
2.911636000000000224e-01 1.735596999999999980e+03 2.354973528200000059e+06 5.000000000000000000e+00 2.000000000000000000e+00
2.941038999999999737e-01 1.735580999999999904e+03 2.354967745899999980e+06 5.000000000000000000e+00 2.000000000000000000e+00
2.995619999999999949e-01 1.415316000000000031e+03 2.238001732900000177e+06 5.000000000000000000e+00 2.000000000000000000e+00
2.993039000000000116e-01 1.415299999999999955e+03 2.237995960400000215e+06 5.000000000000000000e+00 2.000000000000000000e+00
3.415619999999999767e-02 1.059836000000000013e+03 2.108162498999999836e+06 1.000000000000000000e+00 2.000000000000000000e+00
